product_category_name_english,review_categories_str_modified,order_estimated_delivery_span_hours_from_purchase,order_delivered_customer_span_hours_from_purchase,order_delivered_carrier_span_hours_from_purchase,shipping_limit_date,order_delivered_customer_span_hours_from_carrier,distance_bin_Bin 1,distance_bin_Bin 2,distance_bin_Bin 3,distance_bin_Bin 4,distance_bin_Bin 5,modified_review_score,distance_between_customer_and_seller
home_confort,Delivery_Praise,486.31865497076024,274.6432017543859,64.41641812865497,2017-11-28 03:04:37.473684224,210.22678362573097,2,9,3,5,0,4.684210526315789,364.10802273336503
audio,Delivery_Issue,524.4317063492064,608.4984126984127,98.36496031746033,2018-01-24 10:29:48.428571392,510.13345238095235,3,3,5,3,0,1.9285714285714286,375.84608036489027
audio,Delivery_Praise,489.55047777777776,162.5066111111111,65.4641,2017-12-18 23:12:09.040000000,97.04251111111111,9,12,1,3,0,4.92,239.18804883884982
drinks,Delivery_Issue,449.7166865079365,391.87569444444443,92.81511574074074,2018-03-05 03:37:59.142856960,287.7663611111111,5,4,4,1,0,1.6428571428571428,248.74541197095664
drinks,Delivery_Praise,397.50617816091955,141.34109195402297,64.94573754789272,2018-03-28 23:37:00.344827648,76.39535440613027,18,4,4,1,2,4.724137931034483,208.42412911958434
market_place,Delivery_Issue,584.7848989898989,447.61375000000004,113.60135802469136,2017-09-25 19:13:59.272727296,338.4007638888889,4,4,2,1,0,1.7272727272727273,267.5844668366663
market_place,Delivery_Praise,755.353425925926,257.7416666666667,151.14666666666665,2017-07-19 03:09:26.000000000,106.595,3,2,4,0,0,4.888888888888889,236.46223173224305
books_technical,Delivery_Issue,524.3188888888889,329.78538888888886,77.59744444444445,2018-03-20 17:54:52.200000000,252.18794444444447,1,3,1,0,0,2.0,293.7639076034463
books_technical,Delivery_Praise,416.01560763888887,146.09309027777778,43.829236111111115,2018-03-18 04:23:10.812499968,102.26385416666666,7,6,3,0,0,4.8125,208.7137626397545
air_conditioning,Delivery_Issue,611.7974305555555,587.2640833333332,91.91454545454546,2017-11-22 02:08:32.583333376,489.1884722222223,1,4,5,1,1,1.1666666666666667,401.4814807106147
air_conditioning,Delivery_Praise,667.3768055555556,271.40853174603177,121.82855158730159,2017-10-12 16:13:43.642857216,149.57998015873017,4,2,3,5,0,4.714285714285714,376.37013307910337
kitchen_dining_laundry_garden_furniture,Delivery_Issue,489.59456790123454,488.32759259259257,147.75447916666667,2018-03-26 02:52:04.111111168,308.07365740740744,3,1,2,3,0,1.3333333333333333,342.68858387511216
kitchen_dining_laundry_garden_furniture,Delivery_Praise,528.2236507936508,248.53571428571428,57.97172619047619,2018-03-12 12:06:28.285714432,190.5639880952381,5,3,4,1,1,4.357142857142857,308.7998093022262
fashion_shoes,Delivery_Issue,664.4164444444444,408.5463888888889,113.5548888888889,2017-10-27 09:46:03.600000000,294.9915,0,2,2,1,0,1.4,460.6580273186493
fashion_shoes,Delivery_Praise,685.6417424242424,282.98749999999995,87.955101010101,2017-10-04 13:18:46.181818112,195.03239898989898,0,2,8,1,0,4.636363636363637,418.3809056137843
construction_tools_lights,Delivery_Issue,509.0311111111111,376.15274691358024,61.96966049382716,2018-06-14 10:53:10.600000000,314.18308641975307,2,2,4,2,0,1.8,351.5223464555618
construction_tools_lights,Delivery_Praise,335.84886363636366,114.71593434343434,71.76570707070708,2018-07-03 10:27:07.818181632,42.95022727272727,10,0,0,0,1,4.818181818181818,152.52594090485206
